seqID	seq	qual	length
SRR4420340.539			483
SRR4420340.540			486
SRR4420340.541			495
SRR4420340.542			458
SRR4420340.543			461
SRR4420340.544			482
SRR4420340.545			481
SRR4420340.546			489
SRR4420340.547			495
SRR4420340.548			507
SRR4420340.549			456
SRR4420340.550			488
SRR4420340.551			477
SRR4420340.552			457
SRR4420340.553			467
SRR4420340.554			466
SRR4420340.555			468
SRR4420340.556			505
SRR4420340.557			494
SRR4420340.558			488
SRR4420340.559			449
SRR4420340.560			485
SRR4420340.561			475
SRR4420340.562			486
SRR4420340.563			485
SRR4420340.564			479
SRR4420340.565			485
SRR4420340.566			494
SRR4420340.567			488
SRR4420340.568			475
SRR4420340.569			485
SRR4420340.570			500
SRR4420340.571			472
SRR4420340.572			476
SRR4420340.573			473
SRR4420340.574			494
SRR4420340.575			469
SRR4420340.576			476
SRR4420340.577			504
SRR4420340.578			483
SRR4420340.579			474
SRR4420340.580			484
SRR4420340.581			498
SRR4420340.582			479
SRR4420340.583			449
SRR4420340.584			482
SRR4420340.585			476
SRR4420340.586			508
SRR4420340.587			422
SRR4420340.588			485
SRR4420340.589			440
SRR4420340.590			464
SRR4420340.591			463
SRR4420340.592			471
SRR4420340.593			464
SRR4420340.594			470
SRR4420340.595			365
SRR4420340.596			475
SRR4420340.597			474
SRR4420340.598			468
SRR4420340.599			490
SRR4420340.600			466
SRR4420340.601			475
SRR4420340.602			477
SRR4420340.603			462
SRR4420340.604			461
SRR4420340.605			480
SRR4420340.606			460
SRR4420340.607			478
SRR4420340.608			454
SRR4420340.609			493
SRR4420340.610			474
SRR4420340.611			476
SRR4420340.612			449
SRR4420340.613			471
SRR4420340.614			477
SRR4420340.615			474
SRR4420340.616			447
SRR4420340.617			468
SRR4420340.618			464
SRR4420340.619			470
SRR4420340.620			467
SRR4420340.621			492
SRR4420340.622			461
SRR4420340.623			491
SRR4420340.624			478
SRR4420340.625			452
SRR4420340.626			467
SRR4420340.627			465
SRR4420340.628			464
SRR4420340.629			464
SRR4420340.630			486
SRR4420340.631			493
SRR4420340.632			473
SRR4420340.633			471
SRR4420340.634			483
SRR4420340.635			482
SRR4420340.636			477
SRR4420340.637			483
SRR4420340.638			458
SRR4420340.639			467
SRR4420340.640			516
SRR4420340.641			484
SRR4420340.642			488
SRR4420340.643			465
SRR4420340.644			472
SRR4420340.645			486
SRR4420340.646			446
SRR4420340.647			468
SRR4420340.648			499
SRR4420340.649			500
SRR4420340.650			463
SRR4420340.651			481
SRR4420340.652			470
SRR4420340.653			474
SRR4420340.654			505
SRR4420340.655			495
SRR4420340.656			482
SRR4420340.657			484
SRR4420340.658			437
SRR4420340.659			435
SRR4420340.660			494
SRR4420340.661			485
SRR4420340.662			467
SRR4420340.663			491
SRR4420340.664			441
SRR4420340.665			460
SRR4420340.666			486
SRR4420340.667			487
SRR4420340.668			491
SRR4420340.669			481
SRR4420340.670			497
SRR4420340.671			477
SRR4420340.672			454
SRR4420340.673			478
SRR4420340.674			456
SRR4420340.675			465
SRR4420340.676			447
SRR4420340.677			450
SRR4420340.678			478
SRR4420340.679			489
SRR4420340.680			477
SRR4420340.681			484
SRR4420340.682			477
SRR4420340.683			468
SRR4420340.684			487
SRR4420340.685			484
SRR4420340.686			489
SRR4420340.687			479
SRR4420340.688			484
SRR4420340.689			480
SRR4420340.690			487
SRR4420340.691			490
SRR4420340.692			504
SRR4420340.693			480
SRR4420340.694			500
SRR4420340.695			480
SRR4420340.696			472
SRR4420340.697			492
SRR4420340.698			475
SRR4420340.699			456
SRR4420340.700			511
SRR4420340.701			463
SRR4420340.702			488
SRR4420340.703			494
SRR4420340.704			456
SRR4420340.705			496
SRR4420340.706			461
SRR4420340.707			483
SRR4420340.708			480
SRR4420340.709			506
SRR4420340.710			498
SRR4420340.711			471
SRR4420340.712			475
SRR4420340.713			475
SRR4420340.714			491
SRR4420340.715			445
SRR4420340.716			468
SRR4420340.717			481
SRR4420340.718			467
SRR4420340.719			499
SRR4420340.720			502
SRR4420340.721			467
SRR4420340.722			473
SRR4420340.723			460
SRR4420340.724			473
SRR4420340.725			457
SRR4420340.726			490
SRR4420340.727			477
SRR4420340.728			464
SRR4420340.729			474
SRR4420340.730			490
SRR4420340.731			472
SRR4420340.732			474
SRR4420340.733			479
SRR4420340.734			472
SRR4420340.735			478
SRR4420340.736			488
SRR4420340.737			466
SRR4420340.738			473
SRR4420340.739			496
SRR4420340.740			489
SRR4420340.741			478
SRR4420340.742			443
SRR4420340.743			472
SRR4420340.744			469
SRR4420340.745			471
SRR4420340.746			500
SRR4420340.747			486
SRR4420340.748			478
SRR4420340.749			465
SRR4420340.750			477
SRR4420340.751			454
SRR4420340.752			479
SRR4420340.753			488
SRR4420340.754			467
SRR4420340.755			491
SRR4420340.756			457
SRR4420340.757			453
SRR4420340.758			486
SRR4420340.759			490
SRR4420340.760			460
SRR4420340.761			488
SRR4420340.762			479
SRR4420340.763			466
SRR4420340.764			460
SRR4420340.765			470
SRR4420340.766			471
SRR4420340.767			500
SRR4420340.768			486
SRR4420340.769			463
SRR4420340.770			492
SRR4420340.771			492
SRR4420340.772			476
SRR4420340.773			478
SRR4420340.774			377
SRR4420340.775			403
SRR4420340.776			313
SRR4420340.777			466
SRR4420340.778			486
SRR4420340.779			491
SRR4420340.780			447
SRR4420340.781			450
SRR4420340.782			492
SRR4420340.783			467
SRR4420340.784			484
SRR4420340.785			481
SRR4420340.786			432
SRR4420340.787			515
SRR4420340.788			494
SRR4420340.789			475
SRR4420340.790			460
SRR4420340.791			482
SRR4420340.792			474
SRR4420340.793			481
SRR4420340.794			482
SRR4420340.795			493
SRR4420340.796			460
SRR4420340.797			473
SRR4420340.798			472
SRR4420340.799			468
SRR4420340.800			493
SRR4420340.801			478
SRR4420340.802			468
SRR4420340.803			482
SRR4420340.804			479
SRR4420340.805			510
SRR4420340.806			462
SRR4420340.807			438
SRR4420340.808			489
SRR4420340.809			492
SRR4420340.810			476
SRR4420340.811			481
SRR4420340.812			498
SRR4420340.813			464
SRR4420340.814			475
SRR4420340.815			479
SRR4420340.816			481
SRR4420340.817			491
SRR4420340.818			488
SRR4420340.819			479
SRR4420340.820			493
SRR4420340.821			463
SRR4420340.822			477
SRR4420340.823			463
SRR4420340.824			481
SRR4420340.825			491
SRR4420340.826			470
SRR4420340.827			486
SRR4420340.828			487
SRR4420340.829			521
SRR4420340.830			494
SRR4420340.831			481
SRR4420340.832			458
SRR4420340.833			471
SRR4420340.834			476
SRR4420340.835			478
SRR4420340.836			452
SRR4420340.837			459
SRR4420340.838			479
SRR4420340.839			460
SRR4420340.840			478
SRR4420340.841			479
SRR4420340.842			494
SRR4420340.843			503
SRR4420340.844			485
SRR4420340.845			493
SRR4420340.846			484
SRR4420340.847			475
SRR4420340.848			485
SRR4420340.849			476
SRR4420340.850			461
SRR4420340.851			489
SRR4420340.852			479
SRR4420340.853			479
SRR4420340.854			473
SRR4420340.855			493
SRR4420340.856			508
SRR4420340.857			488
SRR4420340.858			457
SRR4420340.859			481
SRR4420340.860			486
SRR4420340.861			480
SRR4420340.862			490
SRR4420340.863			486
SRR4420340.864			473
SRR4420340.865			464
SRR4420340.866			491
SRR4420340.867			479
SRR4420340.868			485
SRR4420340.869			482
SRR4420340.870			488
SRR4420340.871			474
SRR4420340.872			478
SRR4420340.873			476
SRR4420340.874			477
SRR4420340.875			491
SRR4420340.876			442
SRR4420340.877			451
SRR4420340.878			489
SRR4420340.879			467
SRR4420340.880			469
SRR4420340.881			480
SRR4420340.882			478
SRR4420340.883			472
SRR4420340.884			489
SRR4420340.885			485
SRR4420340.886			471
SRR4420340.887			469
SRR4420340.888			504
SRR4420340.889			474
SRR4420340.890			484
SRR4420340.891			496
SRR4420340.892			450
SRR4420340.893			473
SRR4420340.894			472
SRR4420340.895			481
SRR4420340.896			814
SRR4420340.897			497
SRR4420340.898			472
SRR4420340.899			473
SRR4420340.900			494
SRR4420340.901			479
SRR4420340.902			478
SRR4420340.903			476
SRR4420340.904			484
SRR4420340.905			477
SRR4420340.906			511
SRR4420340.907			479
SRR4420340.908			488
SRR4420340.909			498
SRR4420340.910			504
SRR4420340.911			477
SRR4420340.912			481
SRR4420340.913			493
SRR4420340.914			484
SRR4420340.915			489
SRR4420340.916			465
SRR4420340.917			432
SRR4420340.918			483
SRR4420340.919			460
SRR4420340.920			454
SRR4420340.921			490
SRR4420340.922			476
SRR4420340.923			471
SRR4420340.924			479
SRR4420340.925			499
SRR4420340.926			493
SRR4420340.927			434
SRR4420340.928			475
SRR4420340.929			480
SRR4420340.930			454
SRR4420340.931			475
SRR4420340.932			470
SRR4420340.933			519
SRR4420340.934			478
SRR4420340.935			475
SRR4420340.936			470
SRR4420340.937			486
SRR4420340.938			469
SRR4420340.939			495
SRR4420340.940			473
SRR4420340.941			487
SRR4420340.942			483
SRR4420340.943			501
SRR4420340.944			495
SRR4420340.945			487
SRR4420340.946			474
SRR4420340.947			493
SRR4420340.948			476
SRR4420340.949			472
SRR4420340.950			491
SRR4420340.951			478
SRR4420340.952			472
SRR4420340.953			470
SRR4420340.954			484
SRR4420340.955			467
SRR4420340.956			457
SRR4420340.957			469
SRR4420340.958			478
SRR4420340.959			478
SRR4420340.960			461
SRR4420340.961			495
SRR4420340.962			463
SRR4420340.963			479
SRR4420340.964			456
SRR4420340.965			467
SRR4420340.966			490
SRR4420340.967			487
SRR4420340.968			481
SRR4420340.969			478
SRR4420340.970			485
SRR4420340.971			488
SRR4420340.972			485
SRR4420340.973			459
SRR4420340.974			487
SRR4420340.975			477
SRR4420340.976			497
SRR4420340.977			481
SRR4420340.978			476
SRR4420340.979			492
SRR4420340.980			476
SRR4420340.981			490
SRR4420340.982			490
SRR4420340.983			485
SRR4420340.984			490
SRR4420340.985			472
SRR4420340.986			478
SRR4420340.987			459
SRR4420340.988			493
SRR4420340.989			482
SRR4420340.990			509
SRR4420340.991			450
SRR4420340.992			473
SRR4420340.993			458
SRR4420340.994			456
SRR4420340.995			480
SRR4420340.996			474
SRR4420340.997			473
SRR4420340.998			481
SRR4420340.999			493
SRR4420340.1000			504
SRR4420340.1001			479
SRR4420340.1002			468
SRR4420340.1003			487
SRR4420340.1004			459
SRR4420340.1005			481
SRR4420340.1006			473
SRR4420340.1007			482
SRR4420340.1008			485
SRR4420340.1009			453
SRR4420340.1010			476
SRR4420340.1011			470
SRR4420340.1012			444
SRR4420340.1013			487
SRR4420340.1014			484
SRR4420340.1015			479
SRR4420340.1016			479
SRR4420340.1017			456
SRR4420340.1018			482
SRR4420340.1019			458
SRR4420340.1020			466
SRR4420340.1021			456
SRR4420340.1022			487
SRR4420340.1023			458
SRR4420340.1024			499
SRR4420340.1025			494
SRR4420340.1026			494
SRR4420340.1027			476
SRR4420340.1028			490
SRR4420340.1029			468
SRR4420340.1030			478
SRR4420340.1031			482
SRR4420340.1032			481
SRR4420340.1033			482
SRR4420340.1034			506
SRR4420340.1035			473
SRR4420340.1036			467
SRR4420340.1037			444
SRR4420340.1038			502
SRR4420340.1039			473
SRR4420340.1040			459
SRR4420340.1041			488
SRR4420340.1042			445
SRR4420340.1043			464
SRR4420340.1044			488
SRR4420340.1045			489
SRR4420340.1046			480
SRR4420340.1047			467
SRR4420340.1048			508
SRR4420340.1049			487
SRR4420340.1050			476
SRR4420340.1051			478
SRR4420340.1052			479
SRR4420340.1053			472
SRR4420340.1054			496
SRR4420340.1055			486
SRR4420340.1056			474
SRR4420340.1057			483
SRR4420340.1058			471
SRR4420340.1059			487
SRR4420340.1060			487
SRR4420340.1061			470
SRR4420340.1062			496
SRR4420340.1063			441
SRR4420340.1064			481
SRR4420340.1065			472
SRR4420340.1066			470
SRR4420340.1067			500
SRR4420340.1068			466
SRR4420340.1069			503
SRR4420340.1070			483
SRR4420340.1071			497
SRR4420340.1072			472
SRR4420340.1073			483
SRR4420340.1074			505
SRR4420340.1075			491
SRR4420340.1076			472
SRR4420340.1077			491
SRR4420340.1078			471
SRR4420340.1079			491
SRR4420340.1080			479
SRR4420340.1081			472
SRR4420340.1082			486
SRR4420340.1083			434
SRR4420340.1084			493
SRR4420340.1085			485
SRR4420340.1086			452
SRR4420340.1087			490
SRR4420340.1088			478
SRR4420340.1089			479
SRR4420340.1090			510
SRR4420340.1091			455
SRR4420340.1092			439
SRR4420340.1093			482
SRR4420340.1094			472
SRR4420340.1095			482
SRR4420340.1096			460
SRR4420340.1097			522
SRR4420340.1098			473
SRR4420340.1099			430
SRR4420340.1100			488
SRR4420340.1101			445
SRR4420340.1102			472
SRR4420340.1103			472
SRR4420340.1104			463
SRR4420340.1105			489
SRR4420340.1106			489
SRR4420340.1107			498
SRR4420340.1108			479
SRR4420340.1109			481
SRR4420340.1110			495
SRR4420340.1111			482
SRR4420340.1112			508
SRR4420340.1113			460
SRR4420340.1114			476
SRR4420340.1115			485
SRR4420340.1116			478
SRR4420340.1117			491
SRR4420340.1118			490
SRR4420340.1119			424
SRR4420340.1120			483
SRR4420340.1121			447
SRR4420340.1122			485
SRR4420340.1123			505
SRR4420340.1124			467
SRR4420340.1125			484
SRR4420340.1126			464
SRR4420340.1127			489
SRR4420340.1128			466
SRR4420340.1129			468
SRR4420340.1130			494
SRR4420340.1131			491
SRR4420340.1132			477
SRR4420340.1133			464
SRR4420340.1134			483
SRR4420340.1135			457
SRR4420340.1136			474
SRR4420340.1137			479
SRR4420340.1138			502
SRR4420340.1139			472
SRR4420340.1140			460
SRR4420340.1141			468
SRR4420340.1142			470
SRR4420340.1143			469
SRR4420340.1144			477
SRR4420340.1145			485
SRR4420340.1146			482
SRR4420340.1147			452
SRR4420340.1148			455
SRR4420340.1149			477
SRR4420340.1150			452
SRR4420340.1151			497
SRR4420340.1152			484
SRR4420340.1153			475
SRR4420340.1154			468
SRR4420340.1155			467
SRR4420340.1156			505
SRR4420340.1157			463
SRR4420340.1158			471
SRR4420340.1159			466
SRR4420340.1160			488
SRR4420340.1161			486
SRR4420340.1162			4158
SRR4420340.1163			465
SRR4420340.1164			485
SRR4420340.1165			482
SRR4420340.1166			476
SRR4420340.1167			457
SRR4420340.1168			495
SRR4420340.1169			480
SRR4420340.1170			452
SRR4420340.1171			484
SRR4420340.1172			488
SRR4420340.1173			471
SRR4420340.1174			470
SRR4420340.1175			457
SRR4420340.1176			488
SRR4420340.1177			496
SRR4420340.1178			487
SRR4420340.1179			488
SRR4420340.1180			478
SRR4420340.1181			464
SRR4420340.1182			468
SRR4420340.1183			486
SRR4420340.1184			459
SRR4420340.1185			485
SRR4420340.1186			470
SRR4420340.1187			457
SRR4420340.1188			496
SRR4420340.1189			469
SRR4420340.1190			443
SRR4420340.1191			497
SRR4420340.1192			468
SRR4420340.1193			465
SRR4420340.1194			476
SRR4420340.1195			447
SRR4420340.1196			488
SRR4420340.1197			476
SRR4420340.1198			482
SRR4420340.1199			485
SRR4420340.1200			478
SRR4420340.1201			485
SRR4420340.1202			472
SRR4420340.1203			478
SRR4420340.1204			476
SRR4420340.1205			469
SRR4420340.1206			491
SRR4420340.1207			446
SRR4420340.1208			495
SRR4420340.1209			498
SRR4420340.1210			447
SRR4420340.1211			468
SRR4420340.1212			457
SRR4420340.1213			460
SRR4420340.1214			487
SRR4420340.1215			486
SRR4420340.1216			478
SRR4420340.1217			473
SRR4420340.1218			468
SRR4420340.1219			466
SRR4420340.1220			477
SRR4420340.1221			466
SRR4420340.1222			458
SRR4420340.1223			466
SRR4420340.1224			479
SRR4420340.1225			493
SRR4420340.1226			473
SRR4420340.1227			447
SRR4420340.1228			443
SRR4420340.1229			462
SRR4420340.1230			459
SRR4420340.1231			502
SRR4420340.1232			470
SRR4420340.1233			463
SRR4420340.1234			447
SRR4420340.1235			472
SRR4420340.1236			447
SRR4420340.1237			468
SRR4420340.1238			467
SRR4420340.1239			485
SRR4420340.1240			473
SRR4420340.1241			481
SRR4420340.1242			477
SRR4420340.1243			489
SRR4420340.1244			468
SRR4420340.1245			480
SRR4420340.1246			442
SRR4420340.1247			481
SRR4420340.1248			492
SRR4420340.1249			474
SRR4420340.1250			490
SRR4420340.1251			487
SRR4420340.1252			495
SRR4420340.1253			481
SRR4420340.1254			465
SRR4420340.1255			490
SRR4420340.1256			462
SRR4420340.1257			497
SRR4420340.1258			476
SRR4420340.1259			481
